=== Sheet: bcbm-resources-analyzed-2026-03 ===
Type,URL,Discovered From,Has Captcha,Link Strategy,Link Format,Has URL Field
profile,https://www.mycomics.de/profil/tedcrane.html,ahrefs:sprunki-game.io,No,url_field,unknown,No
profile,https://wallhaven.cc/user/lauralehman,ahrefs:sprunki-game.io,No,url_field,unknown,No
profile,https://bordeaux.onvasortir.com/profil_msg_inexistant.php,ahrefs:sprunki-game.io,No,url_field,unknown,No
profile,https://www.stampstampede.org/society-stampers/groups/sprunki-game-1453889805/members/,ahrefs:sprunki-game.io,No,url_field,unknown,No
profile,https://bugs.documentfoundation.org/show_bug.cgi?id=162681,ahrefs:sprunki-game.io,No,url_field,unknown,No
profile,https://blogs.eltiempo.com/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i/,ahrefs:sprunki-game.io,No,url_field,unknown,No
profile,https://chhs.news.niu.edu/2025/01/15/niu-school-of-nursing-adds-hispanic-student-nurses-alianza-hsna-to-support-students/,ahrefs:sprunki-game.io,No,url_field,unknown,No
profile,https://jobs.hyperisland.com/company/georgiana-al-usa,ahrefs:sprunki-game.io,No,url_field,unknown,No
profile,https://athomeinthefuture.com/2022/03/design-decorate-perfect-backyard/,ahrefs:cookieclickercity.com,No,url_field,unknown,No
profile,https://snipplr.com/users/mcleanross?language=all,ahrefs:cookieclickercity.com,No,url_field,unknown,No
profile,https://ru.esosedi.org/RU/BA/8564043/ust_saldyibash/,ahrefs:cookieclickercity.com,No,url_field,unknown,No
profile,https://runpee.com/10-best-math-movies-for-middle-school-students/,ahrefs:cookieclickercity.com,No,url_field,unknown,No
profile,https://pt-media.org/2022/11/02/kuvitteellinen-hakaristi-pahoitti-mielen/,ahrefs:cookieclickercity.com,No,url_field,unknown,No
profile,https://www.gizlogic.com/android-auto-8-4-lanzamiento/,ahrefs:cookieclickercity.com,No,url_field,unknown,No
profile,https://www.g2.com/discussions/what-is-ultipro-system,ahrefs:cookieclickercity.com,No,url_field,unknown,No
profile,https://www.steffisrecipes.com/2020/04/idli-kurma.html,ahrefs:basketballrandom.com,No,url_field,unknown,No
profile,https://www.selfloverainbow.com/self-improvement-7-reasons-why-we-struggle,ahrefs:basketballrandom.com,No,url_field,unknown,No
blog_comment,https://joaniesimon.com/grilled-lemon-garlic-potato-kabobs/grilled-potato-kabobs-with-lemon-and-garlic/,ahrefs:leveldevilgame.com,No,url_field,html,Yes
blog_comment,https://syncedreview.com/2024/09/09/microsofts-fully-pipelined-distributed-transformer-processes-16x-sequence-length-with-extreme-hardware-efficiency/,ahrefs:leveldevilgame.com,No,url_field,html,Yes
blog_comment,https://www.madrimasd.org/blogs/matematicas/2024/02/11/150483,ahrefs:leveldevilgame.com,No,url_field,html,Yes
blog_comment,https://pixel77.com/typography-rules-technique/,ahrefs:leveldevilgame.com,No,url_field,html,Yes
profile,https://blog.metastock.com/2024/08/mastering-ichimoku-method-jeff-gibby.html,ahrefs:leveldevilgame.com,No,url_field,unknown,No
profile,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag/,ahrefs:leveldevilgame.com,No,url_field,unknown,No
blog_comment,https://www.bakerella.com/sweets-for-the-season/,ahrefs:leveldevilgame.com,No,url_field,unknown,Yes
blog_comment,https://blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis/,ahrefs:leveldevilgame.com,No,url_field,html,Yes
blog_comment,https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games/,ahrefs:leveldevilgame.com,No,url_field,html,Yes
profile,https://myanimelist.net/profile/Akizuki_Airi,ahrefs:leveldevilgame.com,No,url_field,unknown,No
profile,https://mastodon.social/@rstevens/112532171747034727,ahrefs:leveldevilgame.com,No,url_field,unknown,No
blog_comment,https://nasze-lasie-pl.sugester.pl/18132-o-stronie-wiadomosci-na-glownej-itp?order=popular,ahrefs:leveldevilgame.com,No,in_content,unknown,No
blog_comment,https://blogg.ng.se/michael-gill/2016/01/jag-och-dottern-oppnar-star-wars-lador,ahrefs:leveldevilgame.com,No,url_field,html,Yes
blog_comment,https://www.beautythroughimperfection.com/reindeer-donuts/,ahrefs:leveldevilgame.com,No,url_field,html,Yes
profile,https://www.chandigarhcity.com/discussions/threads/quordle-to-quorle/,ahrefs:quordle-wordle.com,No,url_field,unknown,No
profile,https://www.manilashopper.com/2014/11/the-stoneware-pottery-shop-in-cagayan.html,ahrefs:quordle-wordle.com,No,url_field,unknown,No
blog_comment,https://holdtoreset.com/where-is-the-shipwreck-today-in-gta-online/,ahrefs:quordle-wordle.com,No,url_field,html,Yes
blog_comment,https://greenerideal.com/wellness/disconnect-to-reconnect-connecting-with-nature-in-the-digital-age,ahrefs:quordle-wordle.com,No,url_field,html,Yes
blog_comment,https://www.browneyedbaker.com/how-to-make-pate-a-choux-fill-eclairs-and-cream-puffs/,ahrefs:quordle-wordle.com,No,url_field,html,Yes
profile,http://tech.winstonsalem.com/2011/09/frameworks-becoming-totally-responsible.html,ahrefs:quordle-wordle.com,No,url_field,unknown,No
blog_comment,https://www.completelydelicious.com/tips/make-brownies-shiny-crackly-crust/,ahrefs:quordle-wordle.com,No,url_field,html,Yes
profile,https://www.blend4web.com/ru/forums/users/alexreynolds/posts/,ahrefs:quordle-wordle.com,No,url_field,unknown,No
profile,http://blog.thefirestore.com/2017/06/aztek-kit-strong-versatile-reliable.html,ahrefs:quordle-wordle.com,No,url_field,unknown,No
blog_comment,https://pharmahub.org/kb/registration/login2,ahrefs:quordle-wordle.com,No,in_content,html,No
blog_comment,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian/,ahrefs:quordle-wordle.com,No,url_field,unknown,Yes
blog_comment,https://feettothefire.blogs.wesleyan.edu/2009/02/26/main-street-marketplace/comment-page-2/,ahrefs:quordle-wordle.com,No,url_field,html,Yes
profile,https://blogs.memphis.edu/padm3601/2015/02/11/death-penalty/,ahrefs:quordle-wordle.com,No,url_field,unknown,No
profile,https://fallfordiy.com/blog/2015/11/18/diy-paint-dipped-advent-calendar-bottles/,ahrefs:quordle-wordle.com,No,url_field,unknown,No
profile,https://blog.prusa3d.com/make-it-fly-contest-winners_77429/,ahrefs:quordle-wordle.com,No,url_field,unknown,No
profile,https://earthpeopletechnology.com/forums/profile/contractwarn,ahrefs:geometrydash-subzero.io,No,url_field,unknown,No
blog_comment,https://soccernet.ng/2024/03/were-looking-forward-to-it-atalantas-lookman-pumped-ahead-of-nigerias-jollof-derby-against-ghana.html,ahrefs:geometrydash-subzero.io,No,url_field,html,Yes
blog_comment,https://mummyfever.co.uk/the-best-youtube-home-workouts/,ahrefs:geometrydash-subzero.io,No,url_field,unknown,Yes
profile,https://help.lametric.com/support/discussions/topics/6000067542,ahrefs:geometrydash-subzero.io,No,url_field,unknown,No
profile,https://www.nintendoworldreport.com/forums/index.php?action=profile%3Bu%3D56540,ahrefs:geometrydash-subzero.io,No,url_field,unknown,No
blog_comment,https://happyhealthymama.com/air-fryer-apples-healthy.html,ahrefs:geometrydash-subzero.io,No,url_field,html,Yes
blog_comment,https://stylishpetite.com/2023/07/high-tea-at-langham-hotel-pasadena.html,ahrefs:geometrydash-subzero.io,No,url_field,unknown,Yes
profile,https://career.tu-sofia.bg/employer/geometry-dash-subzero,ahrefs:geometrydash-subzero.io,No,url_field,unknown,No
blog_comment,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=224,ahrefs:geometrydash-subzero.io,No,url_field,unknown,Yes
profile,https://www.netboard.hu/searchuser_full.php?id=139760,ahrefs:geometrydash-subzero.io,No,url_field,unknown,No
blog_comment,https://blog.bmtmicro.com/4449-2/,ahrefs:geometrydash-subzero.io,No,url_field,unknown,Yes
blog_comment,https://www.mae.gov.bi/en/vacancy-announcement/,ahrefs:level-devil.net,No,url_field,html,Yes
profile,https://participacion.puertodelrosario.org/profiles/albaucb/groups,ahrefs:level-devil.net,No,url_field,unknown,No
blog_comment,https://tonypolecastro.com/at204/,ahrefs:level-devil.net,Yes,url_field,html,Yes
blog_comment,https://chayagrossberg.com/diagnosis-versus-you/,ahrefs:level-devil.net,No,url_field,html,Yes
blog_comment,https://proofreadanywhere.com/get-paid-to-proofread/,ahrefs:level-devil.net,No,url_field,html,Yes
blog_comment,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania/,ahrefs:level-devil.net,No,url_field,html,Yes
profile,https://sites.suffolk.edu/connormulcahy/2014/02/28/solar-energy-lab/,ahrefs:level-devil.net,No,url_field,unknown,No
blog_comment,https://www.dinnerwithjulie.com/2017/12/05/nigels-fruitcake/,ahrefs:level-devil.net,No,url_field,html,Yes
blog_comment,https://capturebilling.com/new-quality-aca-reporting-standards/,ahrefs:level-devil.net,No,url_field,unknown,Yes
blog_comment,https://premierchess.com/uncategorized/is-chess-a-sport-an-introduction-of-chess-in-and-within-the-sports-world,ahrefs:level-devil.net,No,url_field,unknown,Yes
blog_comment,https://diythrill.com/2018/09/23/orange-citrus-poo-pourri-recipe/,ahrefs:level-devil.net,No,url_field,html,Yes
blog_comment,https://blogs.ucl.ac.uk/brits/2014/06/01/sales-growth-curves/,ahrefs:level-devil.net,No,url_field,unknown,Yes
blog_comment,http://godchild.keenspot.com/comic/chapter-3-page-05/,ahrefs:level-devil.net,No,url_field,html,Yes
blog_comment,https://blogg.ng.se/paparazzibloggen/2021/03/exklusiv-forhandslyssning-av-david-bowies-dotters-nya-musik,ahrefs:level-devil.net,No,url_field,html,Yes
profile,https://whimsysoul.com/napa-valley-wine-train/,ahrefs:level-devil.net,No,url_field,unknown,No
profile,https://blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15/,ahrefs:level-devil.net,No,url_field,unknown,No
blog_comment,http://programas.cooperativa.cl/enaccion/2010/09/10/los-reportes-de-sustentabilidad/,ahrefs:level-devil.net,No,url_field,unknown,Yes
blog_comment,https://sites.williams.edu/srd4/methods-exercises/methods-exercise-6/,ahrefs:level-devil.net,No,url_field,html,Yes
blog_comment,https://blog.myesr.org/espanol/los-casos-de-dr-pepe-caso-de-torax-12/,ahrefs:www.sprunkipyramixed.org,No,url_field,html,Yes
blog_comment,https://www.simonsaysstampblog.com/blog/amore-laurafadora-3/comment-page-1/,ahrefs:www.sprunkipyramixed.org,No,url_field,html,Yes
blog_comment,https://preview.amplethemes.com/blog-vlog-pro/2018/12/14/lovely-cat/,ahrefs:www.sprunkipyramixed.org,No,url_field,html,Yes
blog_comment,https://www.arlindovsky.net/2022/06/calendarizacao-da-mobilidade-por-doenca,ahrefs:www.sprunkipyramixed.org,No,url_field,html,Yes
blog_comment,https://sharonsantoni.com/2023/05/making-strawberry-jam-2/,ahrefs:www.sprunkipyramixed.org,No,url_field,html,Yes
blog_comment,https://www.visitrichmond.co.uk/blog/read/2024/03/english-tourism-week-2024-gardens-and-parks-b48,ahrefs:www.sprunkipyramixed.org,No,url_field,unknown,Yes
profile,https://flokii.com/users/view/58762,ahrefs:www.sprunkipyramixed.org,No,url_field,unknown,No
blog_comment,https://nasze-lasie-pl.sugester.pl/167783170-ChatGPT-in-Spain-Revolutionizing-Communication-and-AI-Interaction?order=popular&page=2,ahrefs:www.sprunkipyramixed.org,No,in_content,unknown,No
blog_comment,https://slice.uccs.edu/?p=804,ahrefs:www.sprunkipyramixed.org,No,url_field,html,Yes
profile,https://bangshift.com/bangshift1320/baby-gators-photos-nhra-divisional-sportsman-drag-racing-action-shots/,ahrefs:basketballrandom.com,No,url_field,unknown,No
